procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 151041696  49544 4982656    0    0     0     0 11791 11088  2  0 97  0  0
 8  0      0 151041696  49544 4982656    0    0     0     0 12734 11610  2  0 98  0  0
105  0      0 151041696  49544 4982656    0    0     0     0 13733 11934  2  0 97  0  0
79  0      0 151041104  49544 4982656    0    0     0     0 13103 12297  2  0 97  0  0
47  0      0 151041104  49544 4982656    0    0     0    56 12434 11645  2  0 98  0  0
23  0      0 151040288  49552 4983560    0    0     0    20 14610 13117  2  0 97  0  0
22  0      0 151040768  49552 4983612    0    0     0     0 12739 11944  2  0 97  0  0
30  0      0 151040640  49552 4983676    0    0     0     0 11888 11177  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 151040656  49552 4983676    0    0     0     0 14054 13080  2  0 97  0  0
14  0      0 151037856  49552 4984428    0    0     0     0 14227 13121  2  0 97  0  0
82  0      0 151037344  49560 4984420    0    0     0    44 12299 11409  2  0 97  0  0
19  0      0 151037632  49560 4984420    0    0     0     0 14380 12864  2  0 98  0  0
19  0      0 151037632  49560 4984420    0    0     0     0 12509 11881  2  0 97  0  0
188  0      0 151037632  49560 4984420    0    0     0     0 12530 11512  2  0 97  0  0
251  0      0 151037632  49560 4984420    0    0     0    12 12367 11406  2  0 97  0  0
78  0      0 151037104  49560 4984420    0    0     0     0 11788 11089  2  0 98  0  0
261  0      0 151030304  49560 4991948    0    0     0     0 12915 11348  2  0 97  0  0
78  0      0 151028208  49560 4993492    0    0     0     0 12924 11690  2  0 97  0  0
16  0      0 151027168  49560 4993524    0    0     0     0 11545 11002  2  0 97  0  0
12  0      0 151024624  49568 4993516    0    0     0    64 14095 13031  2  0 97  0  0
114  0      0 151024608  49568 4993516    0    0     0     0 13370 12711  2  0 98  0  0
30  0      0 151024048  49568 4993516    0    0     0     0 12921 12059  2  0 97  0  0
58  0      0 151024048  49568 4993516    0    0     0     0 13455 11664  2  0 97  0  0
16  0      0 150994048  49568 4993516    0    0     0     0 12543 13308  2  0 98  0  0
27  0      0 150967072  49572 4993512    0    0     0     4 12715 13360  2  0 98  0  0
10  0      0 150963744  49572 4994388    0    0     0     0 12869 13219  2  0 97  0  0
14  0      0 150962160  49572 4994468    0    0     0     0 13313 12675  2  0 97  0  0
 9  0      0 150960800  49572 4994712    0    0     0     0 13417 13123  2  0 97  0  0
18  0      0 150958336  49572 4994676    0    0     0     0 13573 13396  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 150954368  49572 4994676    0    0     0     4 12476 11619  2  0 97  0  0
 7  0      0 150954880  49580 4994668    0    0     0    40 12823 12755  2  0 97  0  0
28  0      0 150955040  49580 4994668    0    0     0     0 12179 11661  2  0 98  0  0
22  0      0 150955888  49580 4994996    0    0     0     0 12934 11844  2  0 97  0  0
99  0      0 150955792  49580 4995116    0    0     0     0 12696 11472  2  0 97  0  0
56  0      0 150955184  49580 4995136    0    0     0     0 13441 14191  2  0 97  0  0
71  0      0 150954240  49580 4995236    0    0     0     0 11606 10876  2  0 98  0  0
18  0      0 150952176  49580 4995636    0    0     0     0 13448 12901  2  0 98  0  0
35  0      0 150952912  49580 4996056    0    0     0     0 13333 13317  2  0 98  0  0
21  0      0 150944496  49580 5004252    0    0     0     0 12720 12661  2  0 98  0  0
12  0      0 150941920  49588 5004456    0    0     0    84 21181 23520  3  1 96  0  0
25  0      0 150941920  49588 5004456    0    0     0     0 13244 13137  2  0 98  0  0
23  0      0 150941920  49588 5004456    0    0     0     0 12468 12344  2  0 98  0  0
41  0      0 150941376  49588 5004456    0    0     0     0 12420 11035  2  0 97  0  0
231  0      0 150940000  49588 5004456    0    0     0     0 14277 11454  2  0 97  0  0
85  0      0 150938528  49596 5004844    0    0     0    40 14359 15763  2  0 97  0  0
42  0      0 150939312  49596 5004844    0    0     0     0 13111 12722  2  0 97  0  0
12  0      0 150936864  49596 5005108    0    0     0     0 12056 11889  2  0 98  0  0
19  0      0 150937456  49596 5005128    0    0     0     0 13058 12968  2  0 98  0  0
31  0      0 150937456  49596 5005128    0    0     0     0 14632 12710  2  0 97  0  0
11  0      0 150926720  49596 5013400    0    0     0    16 13239 12337  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0      0 150926720  49596 5013400    0    0     0     0 12320 11788  2  0 98  0  0
38  0      0 150926720  49596 5013400    0    0     0     0 12354 11574  2  0 97  0  0
155  0      0 150926848  49596 5013400    0    0     0     0 14160 12597  2  0 97  0  0
35  0      0 150926848  49596 5013400    0    0     0     0 12763 12397  2  0 98  0  0
31  0      0 150926848  49604 5014144    0    0     0    24 12868 12033  2  0 98  0  0
16  0      0 150926624  49604 5014144    0    0     0     0 12819 11351  2  0 97  0  0
49  0      0 150925392  49604 5014144    0    0     0     0 12670 11093  2  0 97  0  0
127  0      0 150925392  49604 5014144    0    0     0     0 11998 11199  2  0 98  0  0
27  0      0 150925392  49604 5014144    0    0     0     0 12568 12544  2  0 97  0  0
22  0      0 150923712  49604 5014144    0    0     0     0 12502 12113  2  0 97  0  0
20  0      0 150923712  49612 5014888    0    0     0    40 13302 12620  2  0 97  0  0
84  0      0 150923712  49612 5014888    0    0     0     0 13126 12369  2  0 98  0  0
23  0      0 150923712  49612 5014888    0    0     0     0 12734 12225  2  0 97  0  0
26  0      0 150923712  49612 5014888    0    0     0     0 12948 12252  2  0 97  0  0
27  0      0 150923744  49612 5014888    0    0     0     0 14678 15646  2  0 97  0  0
32  0      0 150921184  49612 5015228    0    0     0     0 14769 12928  2  0 97  0  0
181  0      0 150921920  49612 5015008    0    0     0     0 13302 12380  2  0 98  0  0
118  0      0 150913920  49612 5023380    0    0     0     0 12254 11546  2  0 97  0  0
80  0      0 150913920  49612 5023380    0    0     0     0 12564 11300  2  0 97  0  0
20  0      0 150911904  49612 5023380    0    0     0    12 12092 12133  2  0 97  0  0
