procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
73  0      0 142468160  67620 5663276    0    0     0     0 12877 16144  2  0 97  0  0
64  0      0 142468160  67620 5663276    0    0     0    16 12770 16184  2  0 97  0  0
36  0      0 142466096  67620 5663276    0    0     0     0 13234 15735  2  0 98  0  0
34  0      0 142465984  67620 5663276    0    0     0     0 13935 14280  2  0 98  0  0
34  0      0 142463808  67620 5663276    0    0     0     0 13805 13671  2  0 98  0  0
28  0      0 142463808  67620 5663276    0    0     0     0 13863 14003  2  0 97  0  0
30  0      0 142461760  67628 5663268    0    0     0    56 13908 13986  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 142459584  67628 5663268    0    0     0     0 14049 14324  2  0 98  0  0
12  0      0 142457472  67628 5663268    0    0     0     0 13878 14225  2  0 98  0  0
16  0      0 142457472  67628 5663268    0    0     0     0 13830 14357  2  0 97  0  0
15  0      0 142457472  67628 5663268    0    0     0     0 13948 14067  2  0 97  0  0
13  0      0 142457664  67632 5663160    0    0     0    20 14402 14694  2  0 97  0  0
14  0      0 142457456  67632 5663164    0    0     0     0 14004 14502  2  0 98  0  0
16  0      0 142457456  67632 5663164    0    0     0     0 13917 14285  2  0 98  0  0
39  0      0 142457504  67632 5663164    0    0     0     0 13956 14943  2  0 97  0  0
12  0      0 142457664  67632 5663164    0    0     0     0 14538 14572  3  0 97  0  0
16  0      0 142457536  67632 5663164    0    0     0     8 14044 14459  2  0 98  0  0
15  0      0 142457536  67632 5663164    0    0     0    40 13993 14352  2  0 98  0  0
11  0      0 142452320  67632 5666172    0    0     0     0 15112 15525  2  0 97  0  0
12  0      0 142448896  67632 5670332    0    0     0     0 15442 16261  2  0 97  0  0
12  0      0 142440544  67632 5678524    0    0     0     0 16696 18918  2  0 97  0  0
17  0      0 142440848  67632 5678524    0    0     0     0 13834 14574  2  0 98  0  0
16  0      0 142426448  67632 5680028    0    0     0     0 21362 25245  3  1 96  0  0
17  0      0 142426496  67632 5693988    0    0     0     0 18303 21808  2  0 97  0  0
17  0      0 142426656  67632 5693988    0    0     0     0 13497 15208  2  0 97  0  0
19  0      0 142426656  67632 5693988    0    0     0     0 13457 15127  2  0 97  0  0
21  0      0 142426656  67632 5693988    0    0     0     0 13454 15416  2  0 98  0  0
11  0      0 142426656  67636 5693984    0    0     0    20 13688 15719  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  0      0 142424544  67636 5693984    0    0     0     0 13810 15336  2  0 98  0  0
23  0      0 142407840  67636 5701408    0    0     0     0 18067 18740  2  0 97  0  0
11  0      0 142407312  67636 5709248    0    0     0     0 16699 18557  2  0 97  0  0
